"","Species","Code4","Mass","Peak_Freq"
"1","Agelaius phoeniceus","RWBL",65.3,3.11785
"2","Anas platyrhynchos","MALL",1164,1.5115
"3","Bombycilla cedrorum","CEWA",30.6,7.5282
"4","Branta canadensis","CAGO",3969,1.38
"5","Buteo jamaicensis","RTHA",976,2.945
"6","Buteo swainsoni","SWHA",808,2.75
"7","Carduelis spinus","PISI",13.5,4.075
"8","Catharus guttatus","HETH",30.1,3.54
"9","Catharus ustulatus","SWTH",30.3,3.6692
"10","Chordeiles minor","CONI",79.3,3.96
"11","Cinclus mexicanus","AMDI",57.4,4.09
"12","Colaptes auratus","NOFL",128,2.7135
"13","Contopus sordidulus","WEWP",13.1,3.455
"14","Corvus brachyrhynchos","AMCR",538,1.571625
"15","Dendroica coronata","YRWA",12.25,4.5374
"16","Dendroica petechia","YEWA",10.0666666666667,5.62666666666667
"17","Dumetella carolinensis","GRCA",35.3,4.1862
"18","Empidonax oberholseri","DUFL",10,4.5
"19","Empidonax traillii","WIFL",13.1,4.27
"20","Euphagus cyanocephalus","BRCR",67.2,5.25
"21","Euphagus cyanocephalus","BRBL",67.2,5.25
"22","Falco sparverius","AMKE",110,4.95
"23","Geothlypis tolmiei","MGWA",11,4.3
"24","Icterus bullockii","BUOR",37.9,2.87
"25","Junco hyemalis","DEJU",19.3,5.02
"26","Melanerpes lewis","LEWO",113,0.43
"27","Melospiza lincolnii","LISP",16.6,3.83
"28","Melospiza melodia","SOSP",20.5,5.0515
"29","Molothrus ater","BHCO",47.5,5.952235
"30","Passerella iliaca","FOSP",32.3,3.84
"31","Passerina amoena","LAZB",16,5.13
"32","Pheucticus melanocephalus","BHGR",46.1,2.920575
"33","Pipilo chlorurus","GTTO",29.4,4.13413666666667
"34","Pipilo maculatus","SPTO",40.9,4.024465
"35","Piranga ludoviciana","WETA",28.1,2.900865
"36","Poecile atricapillus","BCCH",10.8,3.59
"37","Poecile gambeli","MOCH",11.7,3.475
"38","Pooecetes gramineus","VESP",26.5,4.479
"39","Regulus calendula","RCKI",6.5,3.83133333333333
"40","Regulus satrapa","GCKI",6.3,7.32
"41","Salpinctes obsoletus","ROWR",16.5,3.39333
"42","Sialia currucoides","MOBL",29.3,2.0958
"43","Sitta canadensis","RBNU",9.8,2.57333333333333
"44","Sphyrapicus nuchalis","RNSA",49,2.5
"45","Spizella breweri","BRSP",10.9,4.2
"46","Spizella passerina","CHSP",12.2,5.33579
"47","Sturnella neglecta","WEME",112,2.855
"48","Sturnus vulgaris","EUST",87.6,4.4421
"49","Tachycineta bicolor","TRSW",21.2,4.74
"50","Tachycineta thalassina","VGSW",14.4,4.29
"51","Troglodytes aedon","HOWR",10.8,4.600725
"52","Turdus migratorius","AMRO",78.5,2.5489
"53","Tyrannus verticalis","WEKI",39.6,3.04
"54","Vermivora celata","OCWA",9.1,5.355
"55","Vireo cassinii","CAVI",14.7,3.07
"56","Vireo gilvus","WAVI",12.7,3.97166666666667
"57","Zenaida macroura","MODO",120,0.48116
