"","Species","Observations","Unique site-days observed"
"add","AMCR","88","39"
"add.1","AMDI","21","6"
"add.2","AMGO","10","7"
"add.3","AMKE","83","50"
"add.4","AMRO","409","176"
"add.5","BBMA","47","17"
"add.6","BCCH","75","27"
"add.7","BHCO","80","36"
"add.8","BHGR","21","19"
"add.9","BRBL","52","17"
"add.10","BRCR","5","2"
"add.11","BRSP","52","29"
"add.12","BUOR","109","54"
"add.13","CAFI","1","1"
"add.14","CAGO","1","1"
"add.15","CAVI","4","4"
"add.16","CEWA","22","5"
"add.17","CHSP","60","26"
"add.18","COFL","9","4"
"add.19","COME","2","2"
"add.20","DEJU","63","40"
"add.21","DOWO","6","4"
"add.22","DUFL","126","83"
"add.23","DUGR","2","2"
"add.24","EAKI","12","3"
"add.25","EUST","129","26"
"add.26","FOSP","10","9"
"add.27","GCKI","4","2"
"add.28","GOEA","1","1"
"add.29","GRCA","2","1"
"add.30","GTTO","16","12"
"add.31","HAFL","31","17"
"add.32","HAWO","9","9"
"add.33","HETH","13","6"
"add.34","HOWR","904","280"
"add.35","LAZB","758","266"
"add.36","LEGO","1","1"
"add.37","LEWO","139","57"
"add.38","LISP","3","3"
"add.39","MALL","7","3"
"add.40","MGWA","293","137"
"add.41","MOBL","4","1"
"add.42","MOCH","55","22"
"add.43","MODO","60","29"
"add.44","NOFL","287","127"
"add.45","NOHA","4","4"
"add.46","OCWA","192","102"
"add.47","PISI","12","5"
"add.48","PIWO","1","1"
"add.49","RBNU","57","33"
"add.50","RCKI","116","53"
"add.51","RNSA","77","39"
"add.52","ROWR","2","1"
"add.53","RTHA","3","2"
"add.54","RWBL","136","21"
"add.55","SOSP","461","207"
"add.56","SPSA","9","4"
"add.57","SPTO","238","116"
"add.58","STJA","1","1"
"add.59","SWTH","11","7"
"add.60","TRSW","40","20"
"add.61","VESP","5","4"
"add.62","VGSW","67","16"
"add.63","WAVI","542","225"
"add.64","WEKI","1","1"
"add.65","WEME","131","61"
"add.66","WETA","82","46"
"add.67","WEWP","7","5"
"add.68","WIFL","4","3"
"add.69","WISN","2","1"
"add.70","WIWA","26","15"
"add.71","YEWA","576","246"
"add.72","YRWA","192","79"
